150,150
53,60
54,60
55,60
67,60
68,60
69,60
52,61
56,61
66,61
70,61
51,62
52,62
57,62
65,62
70,62
71,62
50,63
52,63
54,63
55,63
57,63
58,63
64,63
65,63
67,63
68,63
70,63
72,63
49,64
50,64
52,64
57,64
59,64
60,64
62,64
63,64
65,64
70,64
72,64
73,64
48,65
53,65
57,65
60,65
62,65
65,65
69,65
74,65
60,66
62,66
48,67
49,67
57,67
58,67
60,67
62,67
64,67
65,67
73,67
74,67
60,68
62,68
54,69
55,69
56,69
66,69
67,69
68,69
54,70
58,70
68,70
54,71
56,71
61,71
62,71
63,71
60,72
63,72
68,72
69,72
63,73
59,74
63,74
59,75
63,75
63,76
60,77
62,77
